valuation per sqft	address	zone	sqft	valuation	link
74	36 SOUTH ST	MR4	19166	$1,425,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1643
75	475 COLUMBIA ST	MR5	10890	$816,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1607
75	330 SOMERVILLE AVE	MR5	4356	$327,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1150
75	338 BROADWAY	MR5	19166	$1,439,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=841
78	 SKILTON AVE	MR4	11326	$883,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=889
79	675 BROADWAY	MR4	6534	$517,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=276
80	15 SOUTH ST	MR4	19602	$1,575,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1639
81	360 MEDFORD ST	MR4	13068	$1,054,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=884
82	262 HAMPSHIRE ST	MR4	1742	$142,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=12212
82	374 BROADWAY	MR4	17860	$1,465,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=671
83	693 MCGRATH HWY	MR5	10019	$833,400	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1239
85	274 WILLOW AVE	MR4	3920	$332,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=129
85	520 COLUMBIA ST	MR6	52708	$4,484,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1605
86	22 MARSHALL ST	MR5	9583	$819,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1035
87	168 BROADWAY	MR5	8276	$717,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1425
90	147 HIGHLAND AVE	MR4	9148	$821,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=717
90	352 MCGRATH HWY	MR5	17860	$1,610,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1533
90	709 MCGRATH HWY	MR5	24394	$2,201,900	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1240
